source_name,author,title,description,url,url_to_image,published_at,content
Theregister.com,Tobias Mann,"Google wants more Intel inside ... its datacenters, taps Chipzilla for more SmartNICs","Custom ASIC biz now running at a $1B annual pace for Intel
Google will continue to work with Intel, buying SmartNICs for its public cloud rather than blazing its own trail as AWS has done with its Nitro NICs.…",https://www.theregister.com/2026/04/09/google_intel_ipu/,https://regmedia.co.uk/2023/01/20/shutterstock_intel.jpg,2026-04-09T19:03:41Z,"Google will continue to work with Intel, buying SmartNICs for its public cloud rather than blazing its own trail as AWS has done with its Nitro NICs.
Like most hyperscalers today, Google employs Sma… [+2666 chars]"
The Next Web,Ana Maria Constantin,Google Cloud deepens AI infrastructure partnership with Intel across Xeon and custom chips,In short: Google Cloud and Intel have announced a deepened multi-year AI infrastructure partnership covering both CPU deployment and custom chip co-development. Google Cloud will continue adopting Intel’s Xeon 6 processors across its global infrastructure for…,https://thenextweb.com/news/revolut-uk-bank-licence-mobilisation-five-years/,https://cdn0.tnwcdn.com/wp-content/blogs.dir/1/files/2026/04/google-intel-ai-infrastructure-partnership.png,2026-04-09T19:02:38Z,In short: Google Cloud and Intel have announced a deepened multi-year AI infrastructure partnership covering both CPU deployment and custom chip co-development. Google Cloud will continue adopting In… [+8074 chars]
The Next Web,Alina Maria Stan,"Amazon’s chip business could be worth $50 billion, Jassy says, and he hints it may sell them externally","In short: Andy Jassy’s annual letter to shareholders, published on 9 April 2026, reveals that Amazon’s custom chip business, covering Graviton, Trainium, and Nitro, generates more than $20 billion in annualised revenue growing at triple-digit rates year-on-ye…",https://thenextweb.com/news/amazon-custom-chips-jassy-letter-fifty-billion-trainium/,https://cdn0.tnwcdn.com/wp-content/blogs.dir/1/files/2026/04/amazon-custom-chips-jassy-letter-fifty-billion-trainium.png,2026-04-09T18:30:46Z,"In short: Andy Jassys annual letter to shareholders, published on 9 April 2026, reveals that Amazons custom chip business, covering Graviton, Trainium, and Nitro, generates more than $20 billion in a… [+7063 chars]"
Ibtimes.com.au,Mike Clair,"Intel Stock Surges Past $60 as Analyst Upgrade, Terafab Partnership and Foundry Momentum Fuel Turnaround Hopes","SANTA CLARA, Calif. — Intel Corp. shares climbed more than 2.5% Thursday, breaking above $60 for the first time in years, as renewed optimism around the chipmaker's foundry business, a high-profile partnership with Elon Musk's Terafab project and a fresh anal…",https://www.ibtimes.com.au/intel-stock-surges-past-60-analyst-upgrade-terafab-partnership-foundry-momentum-fuel-turnaround-1865939,https://d.ibtimes.com.au/en/full/1879924/executives-silicon-valley-chip-maker-intel-say-fluid-us-trade-policies-regulatory-moves-have.jpg,2026-04-09T18:30:43Z,"SANTA CLARA, Calif. — Intel Corp. shares climbed more than 2.5% Thursday, breaking above $60 for the first time in years, as renewed optimism around the chipmaker's foundry business, a high-profile p… [+6787 chars]"
ZDNet,Jack Wallen,I tested CuerdOS and its unique app lineup is even better than its blazing speed,CuerdOS is a niche Debian-based distro with a alternative approach to preinstalled software - and it's truly a breath of fresh air.,https://www.zdnet.com/article/cuerdos-debian-based-linux-distro-fast-and-unique/,https://www.zdnet.com/a/img/resize/7111c950fd131fd84acba120b4bcaf14e5673116/2026/04/06/21d7889b-378d-4f76-9904-e9e9aa9129ab/cuerdoshero.jpg?auto=webp&fit=crop&height=675&width=1200,2026-04-09T17:37:53Z,"Screenshot by Jack Wallen/ZDNET
Follow ZDNET: Add us as a preferred source on Google.
ZDNET's key takeaways
<ul><li>CuerdOS is a unique, Debian-based Linux distribution.</li><li>This distro offers… [+5813 chars]"
24/7 Wall St.,Rich Duprey,Are Intel Investors Tired of Winning Yet? Chipmaker Bags Another Big Score,"AI workloads have stretched data-center capacity to the limit. Hyperscalers now spend hundreds of billions annually to keep pace, yet GPUs handle only part...",https://247wallst.com/investing/2026/04/09/are-intel-investors-tired-of-winning-yet-chipmaker-bags-another-big-score/,https://s.yimg.com/ny/api/res/1.2/Np7O6Fp4EcfGlUCXCM6l_w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/24_7_wall_st__718/c2603d70f36cc09b0f63040f6a7ab924,2026-04-09T15:45:10Z,"<ul><li>Intel (INTC) locked in a multiyear collaboration with Google committing the search giant to multiple generations of Xeon processors for AI training, inference, and general-purpose computing, … [+5597 chars]"
Gizmodo.com,Kyle Barr,Laptops Are About to Get Very Exciting Again… Thanks to Nvidia,"Nvidia is about to throw another wrench into laptops led by Intel, AMD, and Qualcomm.",https://gizmodo.com/laptops-are-about-to-get-very-exciting-again-thanks-to-nvidia-2000744490,https://gizmodo.com/app/uploads/2026/02/Nvidia-CEO-Jensen-Huang-RTX-50-Series-GPU-1-1200x675.jpg,2026-04-09T15:15:00Z,Nvidia is gearing up to throw the entire laptop scene out of wack. Eagle-eyed leakers spotted a listing for a supposed Nvidia N1 chip housed on an engineering motherboard listed on the Chinese-langua… [+3027 chars]
Yahoo Entertainment,Daniel Howley,"Amazon CEO Jassy says company could sell AI chips, raising stakes for Nvidia, AMD",Amazon CEO Andy Jassy laid out plans to potentially sell AI chips and robots in his annual shareholder newsletter.,https://finance.yahoo.com/sectors/technology/article/amazon-ceo-jassy-says-company-could-sell-ai-chips-raising-stakes-for-nvidia-amd-142835117.html,https://s.yimg.com/ny/api/res/1.2/sVGPp_36Ce9le9ZDCFt1Ig--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03OTk-/https://s.yimg.com/os/creatr-uploaded-images/2026-04/9d4913a0-340c-11f1-af77-cd111f4f9a31,2026-04-09T14:28:35Z,"Amazon (AMZN) CEO Andy Jassy released his annual shareholder newsletter on Thursday, outlining the companys approach to AI and indicating that Amazon is thinking about selling its own AI processors t… [+3825 chars]"
TelecomTV,Ray Le Maistre,Deep Networking specialist raises $125m,Aria Networks was formed 15 months ago with the aim of developing a networking system specifically for AI workloads It has already commercially launched its AI…,https://www.telecomtv.com/content/next-gen-telco-infra/deep-networking-specialist-raises-125m-55267/,https://assets.telecomtv.com/assets/telecomtv/aria-networks-source-aria-networks-22263.jpg?w=1200,2026-04-09T14:07:27Z,"Palo Alto, California-based Aria Networks has launched an AI-native datacentre networking system, dubbed the Deep Networking platform, that it claims can support AI training and inference in a differ… [+7221 chars]"
Theregister.com,Dan Robinson,Peace President's Iran war piles more pain on already battered PC market,"Memory costs were already through the roof - now freight's spiking too, and budget systems face extinction America's war with Iran is jacking up the pressure on computing markets already struggling with memory shortages and component cost inflation, meaning b…",https://www.theregister.com/2026/04/09/middle_east_madness_to_hike/,https://regmedia.co.uk/2026/04/09/trump_at_desk.jpg,2026-04-09T13:38:09Z,"America's war with Iran is jacking up the pressure on computing markets already struggling with memory shortages and component cost inflation, meaning buyers should brace themselves for even higher p… [+3727 chars]"
Barchart.com,Ebube Jones,Tech Stocks Are Experiencing Historic 50-Year Weakness. Should You Buy the Dip in This 1 ETF?,"A rare bout of 50‑year‑level weakness in big U.S. tech has pulled the XLK ETF into a short‑term slump, even as its top holdings like Nvidia, Apple, Microsoft...",https://www.barchart.com/story/news/1221208/tech-stocks-are-experiencing-historic-50-year-weakness-should-you-buy-the-dip-in-this-1-etf,https://s.yimg.com/ny/api/res/1.2/_hDgEn_3ekEmpXdA0In_3g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/barchart_com_477/ec6b9dda8dcda21b448ae8baa38caa8d,2026-04-09T13:15:01Z,"Chip makers just reminded the market how quickly sentiment in tech can turn. The latest compression method from Google researchers, which could sharply cut the memory needed for AI tasks, helped trig… [+4594 chars]"
The Verge,Tom Warren,The MacBook Neo is the best thing to happen to Windows in years,"If there's one thing I know about Microsoft after covering the company for more than 20 years, it's that it will always respond to a competitive threat. Apple's MacBook Air convinced Microsoft and Intel to launch thin and light laptops with the Ultrabook init…",https://www.theverge.com/tech/909140/microsoft-windows-11-fixes-macbook-neo-response-notepad,https://platform.theverge.com/wp-content/uploads/sites/2/2026/03/268387_Apple_MacBook_Neo_AKrales_0507.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2026-04-09T13:02:21Z,"<ul><li></li><li></li><li></li></ul>
Microsoft always responds to a threat to Windows by improving the operating system.
Microsoft always responds to a threat to Windows by improving the operating … [+12999 chars]"
Techpowerup.com,Nomad76,(PR) Global PC Shipments Grew 3% in 1Q26 as Supply Chain Impacts Emerged,"According to the latest research from Omdia, total shipments of desktops, notebooks, and workstations in 1Q26 increased by 3.2% year-over-year to 64.8 million units. Notebooks (including mobile workstations) saw a modest year-over-year increase of 2.6% in Q1 …",https://www.techpowerup.com/348111/global-pc-shipments-grew-3-in-1q26-as-supply-chain-impacts-emerged,https://www.techpowerup.com/img/PnjDIL85jSy9n9rS.jpg,2026-04-09T12:52:30Z,"According to the latest research from Omdia, total shipments of desktops, notebooks, and workstations in 1Q26 increased by 3.2% year-over-year to 64.8 million units. Notebooks (including mobile works… [+2669 chars]"
The Times of India,Akash Podishetti,TCS going all-in on AI as $2.3 billion revenue takes shape. 5 takeaways from Q4 results,"Tata Consultancy Services signalled a decisive shift by positioning AI as a core growth engine rather than an experimental bet. With annualised AI revenue crossing $2.3 billion, strong deal wins, expanding margins and a rapidly upskilled workforce, the compan…",https://economictimes.indiatimes.com/markets/stocks/earnings/tcs-going-all-in-on-ai-as-2-3-billion-revenue-takes-shape-5-takeaways-from-q4-results/articleshow/130142319.cms,"https://img.etimg.com/thumb/msid-130142750,width-1200,height-630,imgsize-2588374,overlay-etmarkets/articleshow.jpg",2026-04-09T12:16:51Z,"TCS's fourth-quarter results signal that the company is no longer considering artificial intelligence (AI) a side bet, instead, it is positioning the segment as a structural growth driver. The compan… [+3310 chars]"
BusinessLine,"KS Badri Narayanan, Team BL",TCS Q4 Results Highlights: IT bellwether Q4 PAT up 12% y-o-y; FY26 profit sees marginal growth,"TCS Q4 results today updates: Tata Consultancy Services will be the first major company to declare its Q4 results today, effectively kicking off the earnings season for the IT sector. With shares trading largely flat ahead of the announcement, investors remai…",https://www.thehindubusinessline.com/markets/tata-consultancy-service-earnings-tcs-q4-results-today-highlights-news-updates-09-april-2026/article70837888.ece,https://bl-i.thgim.com/public/incoming/m5wezg/article70837886.ece/alternates/LANDSCAPE_1200/2026-04-06T064249Z_137221700_RC2P56AJYW9G_RTRMADP_3_INDIA-IT-RESULTS-PREVIEW.JPG,2026-04-09T12:15:24Z,"<li></li>
April 9, 2026 17:43(This live blog is now closed)
<li></li>
April 9, 2026 16:39TCS Q4 results: Net profit grows 12% to 13,784 crore
Tata Consultancy Services
 (TCS) net profit grew 12 … [+16134 chars]"
Tom's Hardware UK,Ben Stockton,"Build a $5,000 AM5 gaming PC for just $2,771 with this Newegg combo deal — 9800X3D and RTX 5070 also come with 128GB of DDR5 RAM, 4TB SSD, X870E motherboard, and AIO cooler","Build a gaming PC worth $5,019 for just $2,771.98 in this epic Newegg combo deal with a 9800X3D, a whopping 128GB of DDR5 RAM, an MSI X870E motherboard, and a RTX 5070, along with a free 4TB SSD, MSI MAG liquid cooler, and three free games, saving you over $2…",https://www.tomshardware.com/desktops/gaming-pcs/build-a-usd5-000-am5-gaming-pc-for-just-usd2-771-with-this-newegg-combo-deal-9800x3d-and-rtx-5070-also-come-with-128gb-of-ddr5-ram-4tb-ssd-x870e-motherboard-and-aio-cooler,https://cdn.mos.cms.futurecdn.net/T8kHQyJbdmenjCJrn4qPin-1920-80.jpg,2026-04-09T12:07:29Z,"A truly epic gaming PC build could be yours if you fancy building it yourself, and it's all thanks to Newegg. The company have dropped a bundle to beat them all, combining a set of parts with a list … [+3894 chars]"
Moneycontrol,Shaleen Agrawal,"TCS Q4 results: Net profit jumps 29% QoQ to Rs 13,718 crore; revenue beats estimate","Tata Consultancy Services Q4 FY26 Results: TCS said it saw continued improvement in business momentum, marking its third consecutive quarter of sequential growth. The company reported total contract value (TCV) of $12 billion for the quarter.",https://www.moneycontrol.com/news/business/earnings/tcs-q4-results-net-profit-jumps-29-qoq-to-rs-13-718-crore-revenue-beats-estimate-13884496.html,https://images.moneycontrol.com/static-mcnews/2024/04/410174539.jpg,2026-04-09T10:37:09Z,"Tata Consultancy Services reported a robust set of fiscal fourth quarter results, with strong sequential profit growth and revenue beating Street expectations. TCS posted a Q4 FY26 consolidated net p… [+2619 chars]"
Yahoo Entertainment,Hamza Shaban,Morning Brief: Where things stand with Iran,A two-week pause on hostilities sent oil back into the mid-90s and stocks up and to the right as the Strait of Hormuz creaked open and ships tried to figure ...,https://finance.yahoo.com/news/morning-brief-where-things-stand-with-iran-100007692.html,https://s.yimg.com/ny/api/res/1.2/8agUmOYcxTF19FcsDpyNxg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04NDc-/https://s.yimg.com/os/creatr-uploaded-images/2026-04/20e2b1e0-3394-11f1-8fe7-52486871d256,2026-04-09T10:00:07Z,"Good morning! As the song says, what a difference a day makes.
A two-week pause on hostilities sent oil back into the mid-90s and stocks up and to the right as the Strait of Hormuz creaked open and … [+10949 chars]"
Ibtimes.com.au,Daniel Lee,Top 10 Most Innovative CEOs in the World 2026: AI Visionaries Reshaping Industries,"As artificial intelligence accelerates from hype to infrastructure in 2026, a select group of CEOs stands out for turning bold ideas into transformative realities across technology, energy, space and computing. These leaders are not just managing companies — …",https://www.ibtimes.com.au/top-10-most-innovative-ceos-world-2026-ai-visionaries-reshaping-industries-1865883,https://d.ibtimes.com.au/en/full/1874036/tesla-spacex-ceo-elon-musk-gestures-he-speaks-washington-january-20-2025-day-us-president.jpg,2026-04-09T08:53:15Z,"As artificial intelligence accelerates from hype to infrastructure in 2026, a select group of CEOs stands out for turning bold ideas into transformative realities across technology, energy, space and… [+6899 chars]"
ComputerWeekly.com,Simon Quicke,PC market enjoys growth in Q1,"In what could be one of the last good quarters before shortages make their full impact, Omdia tracks an improvement in global shipments",https://www.computerweekly.com/microscope/news/366641579/PC-market-enjoys-growth-in-Q1,https://www.computerweekly.com/visuals/German/HERO-Gefahr-mimi-yellow-warning-triangle-Adobe-01.jpg,2026-04-09T08:20:00Z,"The prospects for the PC market are looking bleaker than expected, with analysts warning that memory and storage costs are going to be higher than forecasted.
As a result, the growth recorded in the… [+2898 chars]"
Slickdeals.net,BeigeRoad455,Microcenter Bundle Price Mistakes: AMD Ryzen 9 9900X + MSI X870E-P PRO WIFI Mobo + 32GB Corsair DDR5-6000 Ram For $520; With R7 9850x3d $620; And More $519.99,Microcenter [microcenter.com] has various bundles on sale below their officially listed price when you use the custom pc builder or add the components to cart separately. This is a price mistake where,https://slickdeals.net/f/19399200-microcenter-bundle-price-mistakes-amd-ryzen-9-9900x-msi-x870e-p-pro-wifi-mobo-32gb-corsair-ddr5-6000-ram-for-520-with-r7-9850x3d-620-and-more-519-99,https://slickdeals.net/attachment/2/9/2/8/0/8/2/0/450x450/20061297.thumb,2026-04-09T06:21:35Z,Microcenter[microcenter.com] has various bundles on sale below their officially listed price when you use the custom pc builder or add the components to cart separately. This is a price mistake where… [+2866 chars]
SiliconANGLE News,Kelly Knight,"Today’s applications, tomorrow’s AI workloads — Nutanix is building the platform for both, says CEO","The enterprise computing stack is undergoing its most consequential transformation in decades, as agentic infrastructure shifts from an experimental workload to the organizing logic of every new application. That shift is forcing a fundamental rethink of what…",https://siliconangle.com/2026/04/08/agentic-infrastructure-new-model-ai-enterprise-nutanixnext/,https://d15shllkswkct0.cloudfront.net/wp-content/blogs.dir/1/files/2026/04/IMG_9230.jpg,2026-04-08T23:14:12Z,"The enterprise computing stack is undergoing its most consequential transformation in decades, as agentic infrastructure shifts from an experimental workload to the organizing logic of every new appl… [+5514 chars]"
PhoneArena,Ilia Temelkov,Galaxy S27’s Exynos 2700 processor benchmark leak is all good news,"Samsung may be on the right path with the Exynos 2700 chipset, which will power the Galaxy S27 series.",https://www.phonearena.com/news/galaxy-s27s-exynos-2700-processor-benchmark-leak-is-all-good-news_id179551,https://m-cdn.phonearena.com/images/article/179551-wide-two_1200/Galaxy-S27s-Exynos-2700-processor-benchmark-leak-is-all-good-news.jpg,2026-04-08T21:32:23Z,"Samsung is testing an early version of the Exynos 2700 chipset, as its CPU has shown up in the Geekbench database for the first time. The benchmark, which was spotted by Abhishek Yadav, was run on th… [+2805 chars]"
Liliputing,Brad Linder,Lenovo ThinkPad X13 spec bump brings Intel Panther Lake and AMD Ryzen AI PRO 400 options,"The Lenovo ThinkPad X13 Gen 7 is a thin and light laptop with a starting weight of just 936 grams, or less than 2.1 pounds. Lenovo did not introduce this year’s model during Mobile World Congress in March, instead focusing on the ThinkPad X13 Detachable. But …",https://liliputing.com/lenovo-thinkpad-x13-spec-bump-brings-intel-panther-lake-and-amd-ryzen-ai-pro-400-options/,https://liliputing.com/wp-content/uploads/2026/04/thinkpad-x13_02.jpg,2026-04-08T21:30:22Z,"The Lenovo ThinkPad X13 Gen 7 is a thin and light laptop with a starting weight of just 936 grams, or less than 2.1 pounds. Lenovo did not introduce this year’s model during Mobile World Congress in … [+2549 chars]"
pymnts.com,PYMNTS,"AI Coding Agents Spark Selloff, but Enterprise Software Holds Its Ground","Every few years, a new threat makes enterprise software look fragile. Cloud computing was supposed to kill it. Mobile was supposed to bypass it. It survived both. Now, artificial intelligence (AI) coding agents face their turn. The idea that tools like Claude…",https://www.pymnts.com/artificial-intelligence-2/2026/ai-coding-agents-spark-selloff-but-enterprise-software-holds-its-ground/,https://www.pymnts.com/wp-content/uploads/2026/04/SaaS-AI-agents-digital-transformation.jpeg,2026-04-08T21:09:56Z,"Every few years, a new threat makes enterprise software look fragile. Cloud computing was supposed to kill it. Mobile was supposed to bypass it. It survived both. Now, artificial intelligence (AI) co… [+4036 chars]"
CNET,Joshua Goldman,Computer Won't Run Windows 11? Google's ChromeOS Flex Is a Solid Alternative,Don't rush your old Windows 10 computer to the landfill just yet.,https://www.cnet.com/tech/computing/computer-wont-run-windows-11-googles-chromeos-flex-is-a-solid-alternative/,https://www.cnet.com/a/img/resize/f5647a2d4babfecd3883e7973c6b06ecb53aa7ba/hub/2022/08/25/e21ce503-743e-48b4-8466-97e897c720c6/chromeos-flex-install-05.jpg?auto=webp&fit=crop&height=675&width=1200,2026-04-08T20:31:31Z,"Google is issuing you its periodic reminder that you aren't tethered to Microsoft's operating system if you own a PC. In fact, the search giant is making it easier than ever to switch over to ChromeO… [+8236 chars]"
GlobeNewswire,"Advanced Micro Devices, Inc.",AMD to Report Fiscal First Quarter 2026 Financial Results,"SANTA CLARA, Calif., April 08, 2026 (GLOBE NEWSWIRE) -- AMD (NASDAQ: AMD) announced today that it will report fiscal first quarter 2026 financial results on Tuesday, May 5, 2026, after the market close. Management will conduct a conference call to discuss the…",https://www.globenewswire.com/news-release/2026/04/08/3270525/0/en/AMD-to-Report-Fiscal-First-Quarter-2026-Financial-Results.html,https://ml.globenewswire.com/Resource/Download/9782a337-07ac-424b-9c5a-f9cde47d8d55,2026-04-08T20:15:00Z,"SANTA CLARA, Calif., April 08, 2026 (GLOBE NEWSWIRE) -- AMD (NASDAQ: AMD) announced today that it will report fiscal first quarter 2026 financial results on Tuesday, May 5, 2026, after the market clo… [+1418 chars]"
Windows Central,Alexander Cope,“Still one of my favorites”: This dependable 2‑in‑1 is discounted again while modern laptops remain scarce,"The Lenovo Yoga 7 is a laptop from 2024 built with advanced AI-empowered hardware for powering through office work and creative productivity tasks that still hold in 2026, and it's now on sale for 27%",https://www.windowscentral.com/hardware/laptops/still-one-of-my-favorites-this-dependable-2-in-1-is-discounted-again-while-modern-laptops-remain-scarce,https://cdn.mos.cms.futurecdn.net/tcq9Vrgbk6QCuLX8CHwMsZ-1287-80.jpg,2026-04-08T20:07:00Z,"Many modern 2-in-1 laptops are taking a beating in terms of stock and discount availability thanks to the ongoing RAM Crisis.
In desperate times, it's best to turn to the past, as some older laptops… [+2742 chars]"
